t1_name,t1_redshift,t1_radeg,t1_decdeg,t1_japermag3,t1_japermag3err,flux_g,flux_ivar_g,flux_ivar_r,flux_ivar_w1,flux_ivar_w2,flux_ivar_z,flux_r,flux_w1,flux_w2,flux_z,mag_g,mag_r,mag_w1,mag_w2,mag_z,dist_arcsec
SDSSJ090245.76+085115.9  ,5.215,135.6906667,8.8544222,19.010075,0.07284,0.011206,1213.7037,325.59027,2.703232,0.602941,107.64772,1.73149,16.187445,19.613459,10.027571,27.376352,21.90395,19.477055,19.268614,19.997011,0.04227865089448465
SDSSJ102623.62+254259.4  ,5.25 ,156.5984583,25.7165139,18.511465,0.092777,0.046922,1207.6257,704.87787,2.866011,0.630549,66.22462,1.970608,16.92048,24.693684,14.032572,25.82157,21.7635,19.428968,19.018536,19.632156,0.12724857468376907
SWJ081248.82+044056.54   ,5.29 ,123.2034167,4.6823722,18.725115,0.090428,0.013798,822.4091,384.44095,2.563098,0.566588,63.944336,1.90124,22.393538,31.608675,14.332844,27.150436,21.802408,19.124693,18.750484,19.609169,0.04119278285007444
SDSSJ092721.82+200123.7  ,5.79 ,141.8409167,20.02325,19.1168,0.167026,0.004893,1495.0529,546.90625,2.6237,0.558883,74.782074,0.664859,14.128359,10.327875,8.797513,28.276018,22.943176,19.624771,19.964973,20.139101,0.0710158331410209
SDSSJ083643.85+005453.3  ,5.82 ,129.1827083,0.9148056,17.69717,0.012611,-0.055019,1815.5835,891.79865,2.111849,0.530497,69.80808,1.666069,65.45357,81.21115,25.230408,NaN,21.945768,17.960167,17.725962,18.99519,0.1621968671648929
VIKINGKiDSJ0839+0015     ,5.84 ,129.9806667,0.2650583,19.876862,0.095237,-0.01074,1541.534,940.80914,3.094745,0.725659,115.66778,0.077471,6.517721,5.995209,2.530445,NaN,25.277155,20.46476,20.555489,21.492008,0.2665493860000222
PSOJ127.2817+03.0657     ,5.85 ,127.28175,3.0657111,-999999500,-999999500,-0.025818,1859.1445,694.6824,3.292772,0.691039,113.430374,0.192856,9.359643,12.934745,4.94483,NaN,24.286919,20.071852,19.720606,20.764622,0.06143529554230606
PSOJ157.9070-02.6599     ,5.88 ,157.9070417,-2.6599083,-999999500,-999999500,0.102448,1397.1145,487.68005,2.888593,0.621307,130.9305,0.402196,13.12115,15.139882,7.052176,24.973742,23.488905,19.70507,19.549694,20.379192,0.06812649244929335
SDSSJ081827.40+172251.8  ,6.0  ,124.6141667,17.3810556,18.170103,0.058725,-0.021674,963.0703,389.42096,2.085487,0.523321,79.603836,0.272772,35.287663,46.174324,18.240654,NaN,23.910501,18.630943,18.338999,19.347399,0.12835860838213028
ULASJ082813.41+263355.49 ,6.05 ,127.055875,26.5654139,19.473135,0.124574,0.030001,1577.0411,309.37006,2.62846,0.61505,69.642624,-0.020948,13.495914,16.12,7.048592,26.307144,NaN,19.674494,19.481586,20.379744,0.14835981151212105
SDSSJ103027.10+052455.0  ,6.28 ,157.6129167,5.4152778,18.852478,0.082638,0.009453,2120.0632,627.74475,2.597824,0.56134,111.81935,-0.022373,19.179138,24.366352,11.54851,27.561071,NaN,19.292927,19.033024,19.843685,0.11963278302088311
PSOJ159.2257-02.5438     ,6.38 ,159.2257917,-2.5438722,-999999500,-999999500,9.3e-05,2429.1777,757.6455,2.695378,0.60216,169.01309,0.02883,16.837164,21.414831,9.272295,32.581413,26.350378,19.434328,19.173214,20.082031,0.17808529693131478
J074642.23+200031.5      ,L    ,116.6759583,20.00875,11.759,0.02,1.21521,41.370403,8.540002,0.062503,0.034861,1.621361,7.445839,7264.0674,5275.9897,279.14163,22.288372,20.320215,12.847051,13.194241,16.385439,1.8561215083196227
J075332.07+291710.3      ,L    ,118.383625,29.28619444,15.516,0.048,0.120217,1716.6714,295.59363,0.775967,0.311317,57.96377,2.098155,386.0349,289.38367,64.39747,24.800087,21.695406,16.033434,16.346315,17.977827,0.5833205781036818
J075515.18+293445.0      ,L    ,118.81325,29.57916667,17.229,0.194,0.081267,1975.1136,391.28738,1.81509,0.5421,61.679466,0.548013,74.035645,48.320816,18.282936,25.225216,23.153023,17.826397,18.289665,19.344885,0.6406735915924765
J075625.28+124454.2      ,L    ,119.1053333,12.74838889,16.659,0.139,0.049941,2143.0356,679.6904,1.223774,0.391152,101.02366,0.428823,186.1989,163.52133,19.23732,25.753849,23.419304,16.825058,16.966064,19.289639,0.541303111092924
J075656.43+231455.4      ,L    ,119.235125,23.24872222,16.773,0.145,0.026385,2178.2585,446.6538,1.223352,0.392729,53.178493,0.231086,175.6036,131.27875,11.905788,26.4466,24.090565,16.888666,17.204514,19.810604,1.3748093513391797
J082030.08+103736.8      ,L    ,125.1253333,10.62688889,16.98,0.185,-0.002644,1318.7267,261.35132,1.541172,0.446121,47.885036,0.134122,109.69733,95.73346,12.058226,NaN,24.681248,17.39951,17.54734,19.796791,0.8349844620724377
J082348.05+242858.2      ,L    ,125.9502083,24.48283333,14.986,0.043,0.155771,1323.9398,354.95584,0.536271,0.234761,26.97768,3.171329,629.6346,463.97278,88.398254,24.518785,21.246897,15.502278,15.833769,17.63389,0.787016751756578
J082957.00+265509.4      ,L    ,127.4875,26.91927778,17.109,0.186,0.009353,1799.9717,355.2587,1.107558,0.361007,64.67964,0.301411,220.77324,191.56868,12.884806,27.572601,23.802101,16.640135,16.79419,19.724806,0.6184079496818811
J083506.10+195303.6      ,L    ,128.7754167,19.88433333,16.094,0.075,0.080383,1585.2178,480.86194,0.930536,0.332629,58.311172,0.853035,294.1269,232.12398,33.496506,25.237087,22.672583,16.328663,16.5857,18.687502,1.4485545060322864
J083558.21+054830.5      ,L    ,128.9925417,5.808472222,14.533,0.036,0.287465,962.30164,267.5971,0.519053,0.234004,11.058015,4.387577,682.13873,491.16302,155.68428,23.853537,20.894438,15.415318,15.771935,17.019388,0.5484502441899529
