#ID , RA , DEC , z , Discovery Ref ,,,,
J071346.31+085532.65,07:13:46.31,+08:55:32.65,5.92,Banados16,,,,
J151444.91+211419.78,15:14:44.91,+21:14:19.78,5.92,Banados16,,,,
J215456.16-093027.46,21:54:56.16,-09:30:27.46,5.92,Banados16,,,,
J090314.68+021128.30,09:03:14.68,+02:11:28.30,5.92,Matsuoka17,,,,
J093000.85+005738.40,09:30:00.85,+00:57:38.40,5.92,Matsuoka19b,,,,
J234901.28+005640.90,23:49:01.28,+00:56:40.90,5.92,Matsuoka21,,,,
J091828.65+194045.00,09:18:28.65,+19:40:45.00,5.92,Wang19,,,,
J090328.91-135001.27,09:03:28.91,-13:50:01.27,5.91,Banados16,,,,
J125630.97+253251.45,12:56:30.97,+25:32:51.45,5.91,Banados16,,,,
J161819.77+552654.00,16:18:19.77,+55:26:54.00,5.91,Matsuoka19b,,,,
